Repository,URL,Owner,Owner Type,Default Branch,Stars,Forks,Subscribers,Open Issues (total),Commits (total),PRs (total),Issues (total),Contributors (total),Created At,Pushed At,Updated At,Last Release Date,Primary Language,License,Topics,Size (KB),Homepage,Has Wiki,Has Pages,Has Build System,Has CI,Contains Parallel/Concurrency Code,Concurrency Signal,Project Type
ArcaneChat/android,https://github.com/ArcaneChat/android,ArcaneChat,Organization,,0,0,0,0,8228,17,37,71,,,,2025-10-15T16:55:53Z,,gpl-3.0,email;chat;decentralization;encryption;deltachat,0,,No,No,Yes,Yes,Yes,ExecutorService,Research
aws-samples/amazon-codeguru-java-detectors,https://github.com/aws-samples/amazon-codeguru-java-detectors,aws-samples,Organization,,0,0,0,0,63,81,0,11,,,,,,apache-2.0,,0,,No,No,Yes,Yes,Yes,ExecutorService,Research
cohere-ai/cohere-java,https://github.com/cohere-ai/cohere-java,cohere-ai,Organization,,0,0,0,0,45,57,8,4,,,,2025-09-12T16:27:31Z,,mit,,0,,No,No,Yes,Yes,Yes,CompletableFuture,Research
crowdin/crowdin-cli,https://github.com/crowdin/crowdin-cli,crowdin,Organization,,0,0,0,0,1337,686,236,52,,,,2025-09-03T06:16:39Z,,mit,cli;client;command-line-tool;sync;localization;hacktoberfest,0,,No,No,Yes,Yes,Yes,ExecutorService,Research
DevMello/MeteorMusic,https://github.com/DevMello/MeteorMusic,DevMello,User,,0,0,0,0,107,0,0,12,,,,2024-08-01T01:15:22Z,,cc0-1.0,,0,,No,No,Yes,Yes,Yes,CompletableFuture,Research
andirady/pom-cli,https://github.com/andirady/pom-cli,andirady,User,,0,0,0,0,199,21,19,4,,,,2025-08-19T06:44:35Z,,apache-2.0,maven;command-line;java;pom;cli,0,,No,No,Yes,Yes,Yes,import java.util.concurrent,Research
europeana/embedding-api,https://github.com/europeana/embedding-api,europeana,Organization,,0,0,0,0,50,4,0,2,,,,,,eupl-1.2,cultural-heritage;europeana;recommender-system;spring-boot,0,,No,No,Yes,No,Yes,import java.util.concurrent,Industrial OSS
rainbowdashlabs/reputation-bot,https://github.com/rainbowdashlabs/reputation-bot,rainbowdashlabs,User,,0,0,0,0,896,655,129,16,,,,2024-08-08T00:37:47Z,,agpl-3.0,reputation;reputation-bot;reaction;discord-bot;discord;jda;jda-bot;hacktoberfest;krile,0,,No,No,Yes,Yes,Yes,CompletableFuture,Research
cicsdev/cics-banking-sample-application-cbsa,https://github.com/cicsdev/cics-banking-sample-application-cbsa,cicsdev,Organization,,0,0,0,0,426,14,10,7,,,,,,epl-2.0,java;maven-pom;spring-boot,0,,No,No,Yes,No,Yes,import java.util.concurrent,Research
codeChill26/SWT_Coverity,https://github.com/codeChill26/SWT_Coverity,codeChill26,User,,0,0,0,0,2760,32,0,668,,,,,,mit,,0,,No,No,Yes,Yes,Yes,import java.util.concurrent,Research
gazoprojects/custom-wurst-client,https://github.com/gazoprojects/custom-wurst-client,gazoprojects,Organization,,0,0,0,0,10,0,0,1,,,,,,mit,,0,,No,No,Yes,Yes,Yes,parallelStream(,Industrial OSS
Privitty/privitty-deltchat-android,https://github.com/Privitty/privitty-deltchat-android,Privitty,Organization,,0,0,0,0,6159,2,62,58,,,,2025-06-27T05:41:15Z,,gpl-3.0,,0,,No,No,Yes,No,Yes,ExecutorService,Research
paulogoliveira13/BANK,https://github.com/paulogoliveira13/BANK,paulogoliveira13,User,,0,0,0,0,426,0,0,7,,,,,,epl-2.0,,0,,No,No,Yes,No,Yes,import java.util.concurrent,Research
Maxlego08/zEssentials,https://github.com/Maxlego08/zEssentials,Maxlego08,User,,0,0,0,0,592,51,151,13,,,,,,other,essentials;folia;folia-plugin;foliamc;paper;paper-plugin;papermc,0,,No,No,Yes,Yes,Yes,CompletableFuture,Research
shengdingbox/aibotgo,https://github.com/shengdingbox/aibotgo,shengdingbox,User,,0,0,0,0,14,0,2,2,,,,,,,,0,,No,No,Yes,No,Yes,ExecutorService,Research
jollyboss123/pegasus,https://github.com/jollyboss123/pegasus,jollyboss123,User,,0,0,0,0,14,0,0,1,,,,,,,java;redis;redis-server;virtual-threads-java-21,0,,No,No,Yes,No,Yes,ExecutorService,Open-source (general)
redkale/redkale-plugins,https://github.com/redkale/redkale-plugins,redkale,User,,0,0,0,0,2048,9,0,8,,,,2024-12-30T00:32:04Z,,apache-2.0,,0,,No,No,Yes,Yes,Yes,CompletableFuture,Open-source (general)
adobe/regola,https://github.com/adobe/regola,adobe,Organization,,0,0,0,0,82,48,2,4,,,,2025-10-12T10:22:05Z,,apache-2.0,,0,,No,No,Yes,No,Yes,CompletableFuture,Research
actions-marketplace-validations/CaravanaCloud_cloud-janitor,https://github.com/actions-marketplace-validations/CaravanaCloud_cloud-janitor,actions-marketplace-validations,Organization,,0,0,0,0,322,0,0,3,,,,,,gpl-3.0,,0,,No,No,Yes,Yes,Yes,ExecutorService,Research
mulesoft/mule-compression-module,https://github.com/mulesoft/mule-compression-module,mulesoft,Organization,,0,0,0,0,94,193,0,25,,,,,,,,0,,No,No,Yes,Yes,Yes,import java.util.concurrent,Industrial OSS
